reactionId	compartment	r ; p	ratelaw
vGac866	Nucleus	nuc_gene_i__SALL4_ ; nuc_gene_a__SALL4_	kGac866 * nuc_gene_i__SALL4_
vGac867	Nucleus	nuc_gene_i__SCP2D1_ ; nuc_gene_a__SCP2D1_	kGac867 * nuc_gene_i__SCP2D1_
vGac868	Nucleus	nuc_gene_i__SCARF1_ ; nuc_gene_a__SCARF1_	kGac868 * nuc_gene_i__SCARF1_
vGac869	Nucleus	nuc_gene_i__CDH4_ ; nuc_gene_a__CDH4_	kGac869 * nuc_gene_i__CDH4_
vGac870	Nucleus	nuc_gene_i__SS18L1_ ; nuc_gene_a__SS18L1_	kGac870 * nuc_gene_i__SS18L1_
vGac871	Nucleus	nuc_gene_i__TLCD2_ ; nuc_gene_a__TLCD2_	kGac871 * nuc_gene_i__TLCD2_
vGac872	Nucleus	nuc_gene_i__GLIS2_ ; nuc_gene_a__GLIS2_	kGac872 * nuc_gene_i__GLIS2_
vGac873	Nucleus	nuc_gene_i__VASN_ ; nuc_gene_a__VASN_	kGac873 * nuc_gene_i__VASN_
vGac874	Nucleus	nuc_gene_i__SYCP2_ ; nuc_gene_a__SYCP2_	kGac874 * nuc_gene_i__SYCP2_
vGac875	Nucleus	nuc_gene_i__SLC43A2_ ; nuc_gene_a__SLC43A2_	kGac875 * nuc_gene_i__SLC43A2_
vGac876	Nucleus	nuc_gene_i__ITSN1_ ; nuc_gene_a__ITSN1_	kGac876 * nuc_gene_i__ITSN1_
vGac877	Nucleus	nuc_gene_i__NMRAL1_ ; nuc_gene_a__NMRAL1_	kGac877 * nuc_gene_i__NMRAL1_
vGac878	Nucleus	nuc_gene_i__RILP_ ; nuc_gene_a__RILP_	kGac878 * nuc_gene_i__RILP_
vGac879	Nucleus	nuc_gene_i__LAMA5_ ; nuc_gene_a__LAMA5_	kGac879 * nuc_gene_i__LAMA5_
vGac880	Nucleus	nuc_gene_i__RBPJL_ ; nuc_gene_a__RBPJL_	kGac880 * nuc_gene_i__RBPJL_
vGac881	Nucleus	nuc_gene_i__PRPF8_ ; nuc_gene_a__PRPF8_	kGac881 * nuc_gene_i__PRPF8_
vGac882	Nucleus	nuc_gene_i__TP53TG5_ ; nuc_gene_a__TP53TG5_	kGac882 * nuc_gene_i__TP53TG5_
vGac883	Nucleus	nuc_gene_i__YWHAE_ ; nuc_gene_a__YWHAE_	kGac883 * nuc_gene_i__YWHAE_
vGac884	Nucleus	nuc_gene_i__TUBB1_ ; nuc_gene_a__TUBB1_	kGac884 * nuc_gene_i__TUBB1_
vGac885	Nucleus	nuc_gene_i__C20orf173_ ; nuc_gene_a__C20orf173_	kGac885 * nuc_gene_i__C20orf173_
vGac886	Nucleus	nuc_gene_i__SERPINF2_ ; nuc_gene_a__SERPINF2_	kGac886 * nuc_gene_i__SERPINF2_
vGac887	Nucleus	nuc_gene_i__FITM2_ ; nuc_gene_a__FITM2_	kGac887 * nuc_gene_i__FITM2_
vGac888	Nucleus	nuc_gene_i__GTSF1L_ ; nuc_gene_a__GTSF1L_	kGac888 * nuc_gene_i__GTSF1L_
vGac889	Nucleus	nuc_gene_i__OSM_ ; nuc_gene_a__OSM_	kGac889 * nuc_gene_i__OSM_
vGac890	Nucleus	nuc_gene_i__OTOR_ ; nuc_gene_a__OTOR_	kGac890 * nuc_gene_i__OTOR_
vGac891	Nucleus	nuc_gene_i__R3HDML_ ; nuc_gene_a__R3HDML_	kGac891 * nuc_gene_i__R3HDML_
vGac892	Nucleus	nuc_gene_i__BIRC7_ ; nuc_gene_a__BIRC7_	kGac892 * nuc_gene_i__BIRC7_
vGac893	Nucleus	nuc_gene_i__APBA2_ ; nuc_gene_a__APBA2_	kGac893 * nuc_gene_i__APBA2_
vGac894	Nucleus	nuc_gene_i__DNAJA3_ ; nuc_gene_a__DNAJA3_	kGac894 * nuc_gene_i__DNAJA3_
vGac895	Nucleus	nuc_gene_i__FTCD_ ; nuc_gene_a__FTCD_	kGac895 * nuc_gene_i__FTCD_
vGac896	Nucleus	nuc_gene_i__NKAIN4_ ; nuc_gene_a__NKAIN4_	kGac896 * nuc_gene_i__NKAIN4_
vGac897	Nucleus	nuc_gene_i__ABR_ ; nuc_gene_a__ABR_	kGac897 * nuc_gene_i__ABR_
vGac898	Nucleus	nuc_gene_i__NCF4_ ; nuc_gene_a__NCF4_	kGac898 * nuc_gene_i__NCF4_
vGac899	Nucleus	nuc_gene_i__FLII_ ; nuc_gene_a__FLII_	kGac899 * nuc_gene_i__FLII_
vGac900	Nucleus	nuc_gene_i__CHRNA4_ ; nuc_gene_a__CHRNA4_	kGac900 * nuc_gene_i__CHRNA4_
vGac901	Nucleus	nuc_gene_i__PWP2_ ; nuc_gene_a__PWP2_	kGac901 * nuc_gene_i__PWP2_
vGac902	Nucleus	nuc_gene_i__CDIP1_ ; nuc_gene_a__CDIP1_	kGac902 * nuc_gene_i__CDIP1_
vGac903	Nucleus	nuc_gene_i__MKKS_ ; nuc_gene_a__MKKS_	kGac903 * nuc_gene_i__MKKS_
vGac904	Nucleus	nuc_gene_i__TIMM22_ ; nuc_gene_a__TIMM22_	kGac904 * nuc_gene_i__TIMM22_
vGac905	Nucleus	nuc_gene_i__NSMCE3_ ; nuc_gene_a__NSMCE3_	kGac905 * nuc_gene_i__NSMCE3_
vGac906	Nucleus	nuc_gene_i__XKR7_ ; nuc_gene_a__XKR7_	kGac906 * nuc_gene_i__XKR7_
vGac907	Nucleus	nuc_gene_i__PLAGL2_ ; nuc_gene_a__PLAGL2_	kGac907 * nuc_gene_i__PLAGL2_
vGac908	Nucleus	nuc_gene_i__KRT12_ ; nuc_gene_a__KRT12_	kGac908 * nuc_gene_i__KRT12_
vGac909	Nucleus	nuc_gene_i__KRT20_ ; nuc_gene_a__KRT20_	kGac909 * nuc_gene_i__KRT20_
vGac910	Nucleus	nuc_gene_i__ARHGAP11B_ ; nuc_gene_a__ARHGAP11B_	kGac910 * nuc_gene_i__ARHGAP11B_
vGac911	Nucleus	nuc_gene_i__MIEF2_ ; nuc_gene_a__MIEF2_	kGac911 * nuc_gene_i__MIEF2_
vGac912	Nucleus	nuc_gene_i__COL6A1_ ; nuc_gene_a__COL6A1_	kGac912 * nuc_gene_i__COL6A1_
