index	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_
5070.000000	0.302249	77.9102	18.0017	0.000172528	0.00172528	0.000172528	0.00172528	0.00564339	0.00564339
5100.000000	0.304703	77.7964	18.1412	0.000172528	0.00172528	0.000172528	0.00172528	0.00566079	0.00566079
5130.000000	0.307167	77.6827	18.2811	0.000172528	0.00172528	0.000172528	0.00172528	0.00567817	0.00567817
5160.000000	0.309641	77.5692	18.4212	0.000172528	0.00172528	0.000172528	0.00172528	0.00569552	0.00569552
5190.000000	0.312125	77.4558	18.5617	0.000172528	0.00172528	0.000172528	0.00172528	0.00571284	0.00571284
5220.000000	0.314619	77.3427	18.7024	0.000172528	0.00172528	0.000172528	0.00172528	0.00573014	0.00573014
5250.000000	0.317123	77.2298	18.8434	0.000172528	0.00172528	0.000172528	0.00172528	0.00574741	0.00574741
5280.000000	0.319637	77.117	18.9847	0.000172528	0.00172528	0.000172528	0.00172528	0.00576465	0.00576465
5310.000000	0.322161	77.0044	19.1263	0.000172528	0.00172528	0.000172528	0.00172528	0.00578187	0.00578187
5340.000000	0.324695	76.892	19.2682	0.000172528	0.00172528	0.000172528	0.00172528	0.00579907	0.00579907
5370.000000	0.327239	76.7798	19.4104	0.000172528	0.00172528	0.000172528	0.00172528	0.00581623	0.00581623
5400.000000	0.329793	76.6677	19.5529	0.000172528	0.00172528	0.000172528	0.00172528	0.00583338	0.00583338
5430.000000	0.332357	76.5559	19.6957	0.000172528	0.00172528	0.000172528	0.00172528	0.00585049	0.00585049
5460.000000	0.334931	76.4442	19.8387	0.000172528	0.00172528	0.000172528	0.00172528	0.00586758	0.00586758
5490.000000	0.337516	76.3327	19.982	0.000172528	0.00172528	0.000172528	0.00172528	0.00588465	0.00588465
5520.000000	0.34011	76.2214	20.1256	0.000172528	0.00172528	0.000172528	0.00172528	0.00590169	0.00590169
5550.000000	0.342715	76.1103	20.2695	0.000172528	0.00172528	0.000172528	0.00172528	0.0059187	0.0059187
5580.000000	0.34533	75.9993	20.4137	0.000172528	0.00172528	0.000172528	0.00172528	0.00593569	0.00593569
5610.000000	0.347954	75.8885	20.5582	0.000172528	0.00172528	0.000172528	0.00172528	0.00595265	0.00595265
5640.000000	0.350589	75.778	20.7029	0.000172528	0.00172528	0.000172528	0.00172528	0.00596959	0.00596959
5670.000000	0.353235	75.6675	20.8479	0.000172528	0.00172528	0.000172528	0.00172528	0.0059865	0.0059865
5700.000000	0.35589	75.5573	20.9932	0.000172528	0.00172528	0.000172528	0.00172528	0.00600339	0.00600339
5730.000000	0.358556	75.4473	21.1387	0.000172528	0.00172528	0.000172528	0.00172528	0.00602025	0.00602025
5760.000000	0.361231	75.3374	21.2846	0.000172528	0.00172528	0.000172528	0.00172528	0.00603708	0.00603708
5790.000000	0.363917	75.2277	21.4307	0.000172528	0.00172528	0.000172528	0.00172528	0.0060539	0.0060539
5820.000000	0.366613	75.1182	21.577	0.000172528	0.00172528	0.000172528	0.00172528	0.00607068	0.00607068
5850.000000	0.36932	75.0088	21.7237	0.000172528	0.00172528	0.000172528	0.00172528	0.00608744	0.00608744
5880.000000	0.372037	74.8997	21.8706	0.000172528	0.00172528	0.000172528	0.00172528	0.00610418	0.00610418
5910.000000	0.374763	74.7907	22.0177	0.000172528	0.00172528	0.000172528	0.00172528	0.00612089	0.00612089
5940.000000	0.377501	74.6819	22.1652	0.000172528	0.00172528	0.000172528	0.00172528	0.00613757	0.00613757
5970.000000	0.380248	74.5733	22.3129	0.000172528	0.00172528	0.000172528	0.00172528	0.00615423	0.00615423
6000.000000	0.383006	74.4648	22.4609	0.000172528	0.00172528	0.000172528	0.00172528	0.00617087	0.00617087
6030.000000	0.385774	74.3566	22.6091	0.000172528	0.00172528	0.000172528	0.00172528	0.00618748	0.00618748
6060.000000	0.388552	74.2485	22.7576	0.000172528	0.00172528	0.000172528	0.00172528	0.00620406	0.00620406
6090.000000	0.391341	74.1405	22.9063	0.000172528	0.00172528	0.000172528	0.00172528	0.00622063	0.00622063
6120.000000	0.39414	74.0328	23.0553	0.000172528	0.00172528	0.000172528	0.00172528	0.00623716	0.00623716
6150.000000	0.39695	73.9252	23.2046	0.000172528	0.00172528	0.000172528	0.00172528	0.00625367	0.00625367
6180.000000	0.399769	73.8178	23.3541	0.000172528	0.00172528	0.000172528	0.00172528	0.00627016	0.00627016
6210.000000	0.4026	73.7106	23.5039	0.000172528	0.00172528	0.000172528	0.00172528	0.00628662	0.00628662
6240.000000	0.40544	73.6036	23.6539	0.000172528	0.00172528	0.000172528	0.00172528	0.00630306	0.00630306
6270.000000	0.408291	73.4967	23.8042	0.000172528	0.00172528	0.000172528	0.00172528	0.00631947	0.00631947
6300.000000	0.411152	73.39	23.9547	0.000172528	0.00172528	0.000172528	0.00172528	0.00633586	0.00633586
6330.000000	0.414024	73.2835	24.1055	0.000172528	0.00172528	0.000172528	0.00172528	0.00635222	0.00635222
6360.000000	0.416906	73.1772	24.2566	0.000172528	0.00172528	0.000172528	0.00172528	0.00636856	0.00636856
6390.000000	0.419799	73.071	24.4078	0.000172528	0.00172528	0.000172528	0.00172528	0.00638487	0.00638487
6420.000000	0.422702	72.965	24.5594	0.000172528	0.00172528	0.000172528	0.00172528	0.00640116	0.00640116
6450.000000	0.425615	72.8592	24.7111	0.000172528	0.00172528	0.000172528	0.00172528	0.00641743	0.00641743
6480.000000	0.428539	72.7536	24.8632	0.000172528	0.00172528	0.000172528	0.00172528	0.00643367	0.00643367
6510.000000	0.431474	72.6481	25.0154	0.000172528	0.00172528	0.000172528	0.00172528	0.00644988	0.00644988
6540.000000	0.434419	72.5428	25.1679	0.000172528	0.00172528	0.000172528	0.00172528	0.00646608	0.00646608
6570.000000	0.437374	72.4377	25.3207	0.000172528	0.00172528	0.000172528	0.00172528	0.00648224	0.00648224
6600.000000	0.44034	72.3327	25.4737	0.000172528	0.00172528	0.000172528	0.00172528	0.00649839	0.00649839
6630.000000	0.443317	72.2279	25.6269	0.000172528	0.00172528	0.000172528	0.00172528	0.00651451	0.00651451
6660.000000	0.446304	72.1233	25.7804	0.000172528	0.00172528	0.000172528	0.00172528	0.0065306	0.0065306
6690.000000	0.449301	72.0189	25.9341	0.000172528	0.00172528	0.000172528	0.00172528	0.00654667	0.00654667
6720.000000	0.45231	71.9146	26.088	0.000172528	0.00172528	0.000172528	0.00172528	0.00656272	0.00656272
6750.000000	0.455328	71.8105	26.2422	0.000172528	0.00172528	0.000172528	0.00172528	0.00657874	0.00657874
6780.000000	0.458358	71.7066	26.3966	0.000172528	0.00172528	0.000172528	0.00172528	0.00659474	0.00659474
6810.000000	0.461398	71.6029	26.5512	0.000172528	0.00172528	0.000172528	0.00172528	0.00661072	0.00661072
6840.000000	0.464448	71.4993	26.7061	0.000172528	0.00172528	0.000172528	0.00172528	0.00662667	0.00662667
